Longitude,Latitude,Water_Level
-80.97465835436584,41.96148253745698,174.4289
-80.96259090614798,41.961479239692196,174.19339
-80.95052346033485,41.96147467355718,174.20366
-80.93845601770222,41.961468839052785,174.33533
-80.97465478481774,41.97048925786804,174.06638
-80.96258563681616,41.970485959067375,174.28229
-80.95051649122061,41.970481391498076,174.29512
-80.9384473488072,41.97047555516098,173.96193
-80.9263782103521,41.97046845005714,174.30765
-80.91430907663141,41.970460076187834,173.9652
-80.90223994842127,41.970450433554625,174.20888
-80.89017082649781,41.970439522159225,174.26077
-80.97465121363973,41.97949596409869,174.24527
-80.96258036507831,41.979492664261855,174.24084
-80.95050951892419,41.979488095257864,174.17911
-80.9384386759539,41.97948225708754,174.21237
-80.92636783694402,41.979475149751956,174.20619
-80.91429700267105,41.979466773252405,174.05147
-80.90222617391154,41.979457127590386,174.13693
-80.89015535144206,41.97944621276769,174.23355
-80.87808453603911,41.97943402878625,174.14235
-80.86601372847923,41.97942057564832,174.06415
-80.85394292953897,41.97940585335632,173.92392
-80.84187213999485,41.97938986191293,174.26233
-80.98672019236041,41.988504687455396,174.35515
-80.974647640831,41.988502656148505,174.20152
-80.96257509093319,41.98849935527521,174.2875
-80.95050254344395,41.98849478483612,174.06256
-80.93842999914024,41.988488944832085,174.08931
-80.926357458799,41.98848183526414,174.15027
-80.91428492319721,41.988473456133576,174.3898
-80.90221239311182,41.988463807441924,173.97124
-80.89013986931977,41.98845288919095,174.02095
-80.87806735259801,41.98844070138263,174.29019
-80.86599484372347,41.98842724401915,174.00569
-80.8539223434731,41.988412517102994,174.10678
-80.84184985262387,41.98839652063682,174.11865
-80.82977737195267,41.98837925462353,174.07532
-80.81770490223644,41.988360719066264,174.24127
-80.80563244425214,41.98834091396839,174.0974
-80.79355999877664,41.98831983933352,174.25702
-80.98671832003427,41.99751136596193,174.41402
-80.97464406639064,41.997509334017046,174.10872
-80.96256981437946,41.99750603210699,174.1302
-80.95049556477815,41.99750146023242,174.18886
-80.93842131836406,41.99749561839413,174.05919
-80.92634707591456,41.9974885065932,174.12425
